#5242
21
#inobs
74 263 771 550 192  44   7   4   6  14 114 186 170 110 134  82 457 523 588 647 306
#YEAR RIVER l1 l2 dt dl
1992 2 304 313 367 8.96
1992 2 321 322 368 0.99
1992 2 283 294 385 10.44
1992 2 318 323 410 4.45
1992 2 417 410 463 -5.52
1992 2 320 325 383 4.77
1992 2 371 373 494 1.48
1992 2 349 359 466 7.84
1992 2 299 314 367 14.93
1992 2 255 276 389 19.72
1992 2 383 390 496 5.15
1992 2 355 368 528 8.99
1992 2 339 335 406 -3.6
1992 2 378 380 525 1.39
1992 2 393 389 496 -2.95
1992 2 156 217 556 40.07
1992 1 412 410 431 -1.69
1992 2 383 387 432 3.38
1992 2 364 363 408 -0.9
1992 2 328 326 414 -1.76
1992 2 382 384 525 1.39
1992 2 337 350 493 9.63
1992 2 335 344 376 8.74
1992 2 324 346 496 16.2
1992 2 316 315 366 -1
1992 2 293 303 366 9.98
1992 2 324 347 427 19.67
1992 2 297 303 386 5.68
1992 1 346 342 434 -3.37
1992 2 280 294 494 10.35
1992 2 194 222 429 23.84
1992 2 339 339 405 0
1992 2 364 356 428 -6.83
1992 1 347 342 434 -4.21
1992 2 311 319 428 6.83
1992 2 378 377 404 -0.9
1992 2 430 430 432 0
1992 2 394 389 428 -4.27
1992 2 374 367 489 -5.23
1992 1 395 398 429 2.55
1992 1 176 211 492 25.98
1992 2 353 351 403 -1.81
1992 2 161 241 516 56.63
1992 2 379 380 458 0.8
1992 2 403 403 460 0
1992 2 372 371 521 -0.7
1992 2 376 368 431 -6.78
1992 2 359 362 383 2.86
1992 2 358 359 455 0.8
1992 2 345 343 426 -1.71
1992 2 318 322 402 3.63
1992 2 391 389 429 -1.7
1992 1 337 349 428 10.24
1992 1 316 320 429 3.41
1992 1 376 295 555 -53.31
1992 2 330 341 423 9.5
1992 2 195 238 412 38.12
1992 2 317 328 368 10.92
1992 2 373 380 439 5.82
1992 2 271 280 389 8.45
1992 2 211 243 416 28.1
1992 2 275 302 412 23.94
1992 2 326 352 474 20.03
1992 2 330 340 412 8.87
1992 2 281 293 501 8.75
1992 2 353 353 412 0
1992 2 316 319 414 2.65
1992 2 394 395 475 0.77
1992 2 210 264 416 47.41
1992 2 375 379 415 3.52
1992 2 376 376 388 0
1992 2 203 239 443 29.68
1992 2 318 326 386 7.57
1992 2 364 360 476 -3.07
1992 2 350 350 366 0
1992 2 362 368 415 5.28
1992 2 434 431 444 -2.47
1992 2 321 324 412 2.66
1992 2 341 346 416 4.39
1992 2 399 400 589 0.62
1992 2 368 371 411 2.67
1992 2 370 367 626 -1.75
1992 2 353 361 409 7.14
1992 2 355 354 393 -0.93
1992 2 287 290 387 2.83
1992 2 256 292 379 34.69
1992 2 234 264 438 25.02
1992 2 282 292 411 8.89
1992 2 324 328 411 3.55
1992 2 262 285 414 20.29
1992 2 321 327 438 5
1992 2 321 334 411 11.55
1992 2 306 314 413 7.08
1992 2 306 312 473 4.63
1992 2 354 361 476 5.37
1992 2 373 372 407 -0.9
1992 2 339 343 534 2.74
1992 2 354 360 620 3.53
1992 2 391 391 384 0
1992 2 320 326 477 4.59
1992 2 303 314 411 9.78
1992 2 306 320 410 12.47
1992 2 366 370 410 3.56
1992 2 364 361 385 -2.85
1992 2 370 372 386 1.89
1992 2 365 373 413 7.08
1992 2 355 359 411 3.55
1992 2 340 340 407 0
1992 2 336 338 411 1.78
1992 2 357 356 407 -0.9
1992 2 251 255 436 3.35
1992 2 278 289 438 9.17
1992 2 388 385 471 -2.33
1992 2 369 368 438 -0.83
1992 2 246 273 410 24.05
1992 2 380 382 409 1.79
1992 2 385 385 472 0
1992 2 349 352 385 2.85
1992 2 334 348 385 13.28
1992 2 448 445 405 -2.71
1992 2 305 324 416 16.68
1992 2 348 348 439 0
1992 2 368 365 437 -2.51
1992 2 301 338 497 27.19
1992 2 383 383 498 0
1992 2 394 383 384 -10.46
1992 2 364 365 384 0.95
1992 2 356 354 412 -1.77
1992 2 180 205 411 22.22
1992 2 356 350 438 -5
1992 2 315 317 437 1.67
1992 2 367 367 620 0
1992 2 230 270 470 31.09
1992 2 321 344 434 19.36
1992 2 393 402 505 6.51
1992 2 321 332 471 8.53
1992 2 358 365 411 6.22
1992 2 270 270 382 0
1992 2 388 390 390 1.87
1992 2 229 252 382 21.99
1992 2 315 337 619 12.98
1992 2 376 378 470 1.55
1992 2 352 343 431 -7.63
1992 2 340 350 431 8.47
1992 2 231 256 376 24.29
1992 2 360 372 528 8.3
1992 2 379 380 468 0.78
1992 2 398 407 494 6.65
1992 2 271 288 403 15.41
1992 2 360 358 465 -1.57
1992 2 365 366 432 0.85
1992 1 244 290 372 45.17
1992 1 315 340 460 19.85
1992 1 245 250 372 4.91
1992 1 239 270 408 27.75
1992 2 324 329 415 4.4
